location,list_price (RM),unit_price (RM)/m2,number_bedroom,number_bathroom,area(m2),type,type_encoded,location_encoded
Johor Bahru. Johor,6064800000,18894740.0,4.0,4.0,321.0,House,3,5
Johor Bahru. Johor,6317500000,19439850.0,5.0,5.0,325.0,House,3,5
Johor Bahru. Johor,2786920000,12497820.0,4.0,4.0,223.0,Townhouse,6,5
Johor Bahru. Johor,2772480000,1119100.0,4.0,5.0,2475.0,Townhouse,6,5
Johor Bahru. Johor,4288680000,1512590.0,4.0,5.0,2833.0,Villa,7,5
Johor Bahru. Johor,1624500000,16013960.0,4.0,3.0,10145.0,Condo,2,5
Johor Bahru. Johor,9386000000,2043260.0,5.0,5.0,4590.0,Villa,7,5
Johor Bahru. Johor,12635000000,3068500.0,6.0,6.0,4120.0,Villa,7,5
Kinta. Perak,1624500000,1180470.0,3.0,3.0,1377.0,Condo,2,7
Kuala Kangsar. Perak,566770000,404835.71428571426,3.0,2.0,1400.0,House,3,10
Johor,2238200000,1368929.6636085627,3.0,2.0,1635.0,House,3,4
Johor Bahru. Johor,2783310000,12100720.0,4.0,4.0,230.0,Townhouse,6,5
Kinta. Perak,1436780000,1184080.0,3.0,2.0,1213.0,Condo,2,7
Johor Bahru. Johor,2996300000,10089950.0,5.0,5.0,297.0,House,3,5
Seberang Perai Utara. Pulau Pinang,1191300000,13357000.0,3.0,2.0,8918.0,House,3,22
Johor Bahru. Johor,31768000000,45125000.0,5.0,5.0,704.0,Villa,7,5
Kinta. Perak,848350000,1270720.0,2.0,2.0,667.0,Condo,2,7
Kinta. Perak,2888000000,902500.0,4.0,4.0,3200.0,House,3,7
Kinta. Perak,1624500000,985530.0,4.0,3.0,1650.0,House,3,7
Kinta. Perak,1220180000,1018020.0,4.0,3.0,1200.0,House,3,7
Johor Bahru. Johor,9386000000,1537860.0,38.0,38.0,6100.0,Commercial,1,5
Kinta. Perak,2093800000,1191300.0,5.0,4.0,1760.0,House,3,7
Kinta. Perak,696730000,786980.0,3.0,2.0,884.0,Condo,2,7
Kinta. Perak,1220180000,487350.0,4.0,2.0,2508.0,House,3,7
Kinta. Perak,1364580000,1075780.0,4.0,3.0,1270.0,House,3,7
Kinta. Perak,1624500000,1158810.0,4.0,3.0,1400.0,House,3,7
Kinta. Perak,1328480000,1231010.0,4.0,2.0,1080.0,House,3,7
Kinta. Perak,548720000,610090.0,4.0,2.0,899.0,Apartment,0,7
Kinta. Perak,1404290000,934990.0,4.0,4.0,1500.0,House,3,7
Kinta. Perak,931380000,776150.0,3.0,2.0,1200.0,House,3,7
Kinta. Perak,1797780000,584820.0,4.0,4.0,3080.0,House,3,7
Kinta. Perak,1263500000,819470.0,3.0,2.0,1540.0,House,3,7
Kinta. Perak,967480000,624530.0,3.0,2.0,1550.0,House,3,7
Kinta. Perak,1516200000,1083000.0,4.0,3.0,1400.0,House,3,7
Kinta. Perak,1003580000,743660.0,3.0,2.0,1350.0,House,3,7
Kinta. Perak,794200000,826690.0,3.0,2.0,960.0,House,3,7
Kinta. Perak,2707500000,1288770.0,6.0,5.0,2100.0,House,3,7
Johor Bahru. Johor,1761680000,10068290.0,4.0,4.0,175.0,House,3,5
Kinta. Perak,877230000,732830.0,3.0,1.0,1200.0,House,3,7
Kinta. Perak,1010800000,934990.0,3.0,2.0,1080.0,House,3,7
Kinta. Perak,649800000,765320.0,3.0,2.0,850.0,Apartment,0,7
Johor Bahru. Johor,9025000000,4151333.9466421343,5.0,5.0,2174.0,Villa,7,5
Kinta. Perak,1516200000,1379020.0,4.0,3.0,1100.0,House,3,7
Kinta. Perak,1732800000,1119100.0,4.0,3.0,1550.0,House,3,7
Johor Bahru. Johor,1256280000,12562800.0,3.0,2.0,100.0,Apartment,0,5
Johor Bahru. Johor,3241780000,1010215.0202555312,4.0,4.0,3209.0,House,3,5
Kinta. Perak,1371800000,1072170.0,4.0,3.0,1280.0,House,3,7
Kuala Lumpur. Kuala Lumpur,1725580000,191773.7274949989,2.0,1.0,8998.0,Condo,2,12
Johor Bahru. Johor,2093800000,13595260.0,5.0,4.0,154.0,House,3,5
Kinta. Perak,2166000000,1032460.0,6.0,4.0,2100.0,House,3,7
Johor Bahru. Johor,2093800000,11631420.0,5.0,4.0,180.0,House,3,5
Johor Bahru. Johor,4620800000,808640.0,20.0,8.0,5720.0,Commercial,1,5
Sepang. Selangor,711170000,156783.50970017636,2.0,1.0,4536.0,Condo,2,23
Sepang. Selangor,812250000,179067.4603174603,2.0,2.0,4536.0,Condo,2,23
Putrajaya. Putrajaya,1444000000,254001.75901495162,3.0,2.0,5685.0,Condo,2,21
Petaling. Selangor,2137842000,263183.7990890065,3.0,3.0,8123.0,Condo,2,19
Kuala Lumpur. Kuala Lumpur,1552300000,121739.47141400675,3.0,2.0,12751.0,Condo,2,12
Putrajaya. Putrajaya,2137842000,376049.60422163585,3.0,2.0,5685.0,Condo,2,21
Sepang. Selangor,830300000,364166.6666666666,2.0,1.0,2280.0,Condo,2,23
Kuala Lumpur. Kuala Lumpur,3971000000,2948032.6651818855,4.0,3.0,1347.0,Condo,2,12
Kuala Lumpur. Kuala Lumpur,3610000000,308547.0085470085,4.0,3.0,11700.0,Condo,2,12
Kuala Lumpur. Kuala Lumpur,2137842000,237590.79795510112,3.0,2.0,8998.0,Condo,2,12
Johor Bahru. Johor,2772480000,863970.0841383609,4.0,4.0,3209.0,House,3,5
Johor Bahru. Johor,6093680000,18898350.0,20.0,8.0,32247.0,Commercial,1,5
Sepang. Selangor,902500000,166543.64273851263,2.0,1.0,5419.0,Condo,2,23
Kuala Lumpur. Kuala Lumpur,5776000000,641920.4267615026,2.0,2.0,8998.0,Condo,2,12
Kuala Langat. Selangor,1624500000,68287.86413888771,4.0,3.0,23789.0,House,3,11
Kuala Langat. Selangor,1696700000,71322.88032283829,4.0,3.0,23789.0,House,3,11
Kinta. Perak,1039680000,945820.0,20.0,1.0,1100.0,Commercial,1,7
Johor,1299600000,716822.945394374,3.0,2.0,1813.0,House,3,4
Johor Bahru. Johor,11239915500,18158300.0,20.0,8.0,619.0,Commercial,1,5
Pontian. Johor,31810439160,699437.9762532982,20.0,20.0,45480.0,commercial,8,20
Kinta. Perak,789868000,7743450.0,4.0,2.0,102.0,House,3,7
Johor Bahru. Johor,1942180000,14939846.153846152,3.0,2.0,130.0,House,3,5
Johor Bahru. Johor,4620800000,1848320.0,6.0,4.0,2500.0,House,3,5
Johor Bahru. Johor,2050480000,15772090.0,3.0,4.0,130.0,House,3,5
Johor,2346500000,15237810.0,5.0,4.0,154.0,House,3,4
Sepang. Selangor,902500000,166543.64273851263,3.0,2.0,5419.0,Condo,2,23
Johor Bahru. Johor,5054000000,1621951.219512195,4.0,3.0,3116.0,House,3,5
Johor Bahru. Johor,5054000000,18717850.0,5.0,4.0,270.0,House,3,5
Sepang. Selangor,830300000,17876720.0,2.0,1.0,4645.0,Condo,2,23
Sepang. Selangor,830300000,19862220.0,2.0,1.0,418.0,Condo,2,23
Johor Bahru. Johor,3790500000,16129480.0,5.0,3.0,235.0,House,3,5
Johor Bahru. Johor,2664180000,14479710.0,4.0,3.0,184.0,House,3,5
Johor Bahru. Johor,4512500000,14035680.0,5.0,6.0,3215.0,House,3,5
